Action Name,Prompt Description,Action Function,Data Collection,Data Insertion,Data Exfiltration,Resource Control,Trace Hiding
co.zottmann.ActionsForObsidian.CreateNote,Create Note in Actions for Obsidian,action_external_app,,,,,
com.tantsissa.AutoSleep.SleepRingsIntent,Sleep Rings in AutoSleep,action_external_app,,,,,
com.lexwarelabs.goodmorning.SleepIntent,Sleep in Good Morning,action_external_app,,,,,
in.muditbhargava.LookUp.AddToCollectionIntent,Add to Collection in LookUp,action_external_app,,,,,
com.jonny.spring.KJYGetTweetIntent,Get Tweet in KJY,action_external_app,,,,,
ke.bou.WidgetPack.ModifierMinimumScaleFactorIntent,Modifier Minimum Scale Factor in WidgetPack,action_external_app,,,,,
fm.overcast.overcast.add,Add in Overcast,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.GetSymbolNameIntent,Get Symbol Name in Toolbox Pro,action_external_app,,,,,
org.fastdevsproject.altervista.Device-Monitor.CPUChartIntent,CPU Chart in Device Monitor,action_external_app,,,,,
org.fastdevsproject.altervista.Device-Monitor.RAMChartIntent,RAM Chart in Device Monitor,action_external_app,,,,,
org.fastdevsproject.altervista.Device-Monitor.RAMDepthCleanIntent,RAM Depth Clean in Device Monitor,action_external_app,,,,,
com.openai.chat.OpenVoiceModeIntent,Open Voice Mode in ChatGPT,action_external_app,,,,,
com.apple.iBooks.BookReaderChangeThemeIntent,Change Theme in iBooks,action_external_app,,,,,
com.apple.iBooks.BookReaderChangePageNavigationIntent,Change Page Navigation in iBooks,action_external_app,,,,,
is.workflow.actions.evernote.getlink,Get Link in Evernote,action_external_app,,,,,
com.pcalc.mobile.CalcSetRegisterWithValueIntent,Set Register with Value in PCalc,action_external_app,,,,,
com.pcalc.mobile.CalcRunFunctionWithOneParameterIntent,Run Function with One Parameter in PCalc,action_external_app,,,,,
com.pcalc.mobile.CalcRunFunctionWithTwoParametersIntent,Run Function with Two Parameters in PCalc,action_external_app,,,,,
com.culturedcode.ThingsMac.TINRunThingsURLIntent,Run Things URL in Things Mac,action_external_app,,,,,
com.apple.AccessibilityUIServer.ToggleMusicHapticsIntent,Toggle Music Haptics,action_external_app,,,,,
com.iconfactory.Tot.GetDotIntent,Get Dot in Tot,action_external_app,,,,,
ke.bou.WidgetPack.ModifierShadowIntent,Modifier Shadow in WidgetPack,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.GetLocationFromTextIntent,Get Location from Text in Toolbox Pro,action_external_app,,,,,
com.shi.AviaryApp.PostTweetIntent,Post Tweet in Aviary,action_external_app,,,,,
com.twidere.TwidereX.PublishPostIntent,Publish Post in Twidere X,action_external_app,,,,,
com.ulyssesapp.ios.ULListSheetsIntent,List Sheets in Ulysses,action_external_app,,,,,
com.ulyssesapp.ios.ULGetIdentifierIntent,Get Identifier in Ulysses,action_external_app,,,,,
com.ulyssesapp.ios.ULGetSheetIntent,Get Sheet in Ulysses,action_external_app,,,,,
net.shinyfrog.bear-iOS.SFAddFilesToNoteIntent,Add Files to Note on Shinyfrog,action_external_app,,,,,
com.waterminder.waterminder.LogCupIntent,Log Cup in WaterMinder,action_external_app,,,,,
com.waterminder.waterminder.LogDrinkIntent,Log Drink in WaterMinder,action_external_app,,,,,
com.waterminder.waterminder.ShowLastDrinkIntent,Show Last Drink in WaterMinder,action_external_app,,,,,
com.waterminder.waterminder.ShowProgressIntent,Show Progress in WaterMinder,action_external_app,,,,,
com.waterminder.waterminder.ShowRemainingWaterGoalIntent,Show Remaining Water Goal in WaterMinder,action_external_app,,,,,
com.wiheads.paste.ios.GetLatestItemIntent,Get Latest Item in Paste,action_external_app,,,,,
com.highcaffeinecontent.radio.MRDPlayStationIntent,Play Station in Marvis Pro,action_external_app,,,,,
com.tantsissa.AutoSleep.WristTempIntent,Wrist Temp in AutoSleep,action_external_app,,,,,
com.omz-software.Pythonista3.PA3AddFileIntent,Add File in Pythonista 3,action_external_app,,,,,
com.microsoft.to-do.WLShowListIntent,Show List in Microsoft To Do,action_external_app,,,,,
com.XC759DNLDS.com.rileytestut.AltStore.RefreshAllIntent,Refresh All in AltStore,action_external_app,,,,,
ai.perplexity.app.OpenVoiceInAppIntent,Open Voice in App in Perplexity,action_external_app,,,,,
com.sindresorhus.Actions.TransformTextWithJavaScriptIntent,Transform Text with JavaScript through Sindresorhus,action_external_app,,,,,
com.sindresorhus.Actions.ColorIntent,Color through Sindresorhus,action_external_app,,,,,
ke.bou.GizmoPack.QueryDocumentIntent,Query Document in GizmoPack,action_external_app,,,,,
ke.bou.WidgetPack.ModifierOpacityIntent,Modifier Opacity in WidgetPack,action_external_app,,,,,
dev.fuxiao.app.Hamster.RimeDeployIntent,Rime Deploy in Hamster,action_external_app,,,,,
'com.ZoZoApp.ZoZoApp.CopyContentsToClipboard',,action_external_app,,,,,
'com.apple.iWork.Numbers.TNiOSAddValuesToSpreadsheetIntent',,action_external_app,,,,,
'com.omnigroup.OmniFocus2.iPhone.newitem',,action_external_app,,,,,
'com.tplink.kasa-ios.KasaRunSceneIntent',,action_external_app,,,,,
'is.workflow.actions.pinboard.add',,action_external_app,,,,,
'io.robbie.HomeAssistant.RenderTemplateIntent',,action_external_app,,,,,
'io.robbie.HomeAssistant.CallServiceIntent',,action_external_app,,,,,
'com.alexhay.ToolboxProForShortcuts.CreateEventIntent',,action_external_app,,,,,
'company.thebrowser.ArcMobile2.VoiceSearchIntent',,action_external_app,,,,,
'com.culturedcode.ThingsMac.TINAddTodoIntent',,action_external_app,,,,,
'com.culturedcode.ThingsMac.beta.TAIAddProject',,action_external_app,,,,,
'com.culturedcode.ThingsMac.beta.TAIAddHeading',,action_external_app,,,,,
'com.culturedcode.ThingsMac.beta.TAIAddTodo2',,action_external_app,,,,,
'com.tapbots.Ivory.PTHIvoryOpenIntent',,action_external_app,,,,,
'company.thebrowser.ArcMobile2.CallArcIntent',,action_external_app,,,,,
'com.flexibits.fantastical2.iphone.FKRChangeCalendarSetIntent',,action_external_app,,,,,
'com.flexibits.fantastical2.iphone.FKROpenOnDateIntent',,action_external_app,,,,,
'com.tapbots.Ivory.PTHIvoryPostStatusIntent',,action_external_app,,,,,
'com.fandango.fandango.UpcomingOrderIntent',,action_external_app,,,,,
'com.lifx.lifx.LFXLightSceneIntent',,action_external_app,,,,,
'com.culturedcode.ThingsMac.beta.TAIItemEntity',,action_external_app,,,,,
'com.culturedcode.ThingsMac.beta.TAIEditItems',,action_external_app,,,,,
'com.culturedcode.ThingsMac.beta.TAIShowItems2',,action_external_app,,,,,
'com.culturedcode.ThingsMac.beta.TAIShowList2',,action_external_app,,,,,
'com.amazon.Lassen.BookOpenSiriDonationIntent',,action_external_app,,,,,
'com.ulyssesapp.mac.ULNewSheetIntent',,action_external_app,,,,,
'com.ulyssesapp.mac.ULOpenIntent',,action_external_app,,,,,
'com.sindresorhus.One-Thing.GetTextIntent',,action_external_app,,,,,
'com.flexibits.fantastical2.iphone.FKRShowScheduleIntent',,action_external_app,,,,,
'com.culturedcode.ThingsMac.beta.TINRunThingsURLIntent',,action_external_app,,,,,
'com.culturedcode.ThingsMac.beta.TAIAddTodoWithQuickEntry',,action_external_app,,,,,
'com.culturedcode.ThingsMac.TINShowTodoIntent',,action_external_app,,,,,
